CRIMEID,REPORTDATE,LATITUDE,LONGITUDE,ADDRESS,WARD,NEARESTINTKEY,NEARESTINTSTREETNAME,location_quality,location_error_type,severity_score,total_fatalities,total_major_injuries,total_minor_injuries,total_injuries,has_pedestrian,has_bicyclist,has_speeding,has_fatality,has_major_injury
53601257003,2024-01-01 02:30:00+00:00,38.882051,-77.018852,601 4TH PLACE SW,WARD 6,Route not found,ROUTE NOT FOUND,MEDIUM,FAR_FROM_CENTERLINE,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53601652298,2024-01-01 00:02:00+00:00,38.901983,-77.032384,960 14TH STREET NW,WARD 2,145a0ebe84fccceb275b3c1c05f87c41,K ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53602023507,2024-01-01 01:31:00+00:00,38.935826,-77.035932,3533 16TH STREET NW,WARD 1,0659f1f30e52d5e33de7e3e006e2bba5,OAK ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53602573484,2024-01-01 02:45:00+00:00,38.916511,-77.021894,2000 GEORGIA AVENUE NW,WARD 1,aa205ed493bcbe9cd86470c5178f5a46,7TH ST NW,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53602829968,2024-01-01 05:02:00+00:00,38.909169,-76.987263,1641 WEST VIRGINIA AVENUE NE,WARD 5,edd4dd58311fcdc73d643a7ac107adfe,CORCORAN ST NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53602855508,2024-01-01 04:00:00+00:00,38.890265,-76.93779,4501 BENNING ROAD NE,WARD 7,c98bdff7e39403aeaa7729030beaf394,CENTRAL AVE NE,HIGH,NO_ERROR_FLAGGED,6.0,0.0,0.0,2.0,2.0,False,False,False,False,False
53603100814,2024-01-01 06:00:00+00:00,38.915508,-77.020111,600 FLORIDA AVENUE NW,WARD 2,9a1b196779446d678e2d740ce1a79c84,6TH ST NW,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,True,False,False,False,False
53603120393,2024-01-01 06:15:00+00:00,38.905466,-77.013637,200 NEW YORK AVENUE NW,WARD 6,5b153b44684f312071c93c8fdefcbdc2,M ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53603459318,2024-01-01 07:00:00+00:00,38.873799,-77.010817,1353 HALF STREET SW,WARD 6,79796f261ed3e0a86fa85624647cd91a,N ST SW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53603692193,2024-01-01 00:30:00+00:00,38.899865,-77.00204,734 3RD STREET NE,WARD 6,69bf16a753c5cdaf739caf9394144a85,H ST NE,MEDIUM,BLOCKKEY_ERROR,3.0,0.0,0.0,1.0,1.0,True,False,False,False,False
53603857112,2024-01-01 07:00:00+00:00,38.90511,-77.030098,1301 MASSACHUSETTS AVENUE NW,WARD 2,c126181ad33af92f80b2943c568b69a2,13TH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53603971138,2024-01-01 03:05:00+00:00,38.894475,-76.915312,400 60TH STREET NE,WARD 7,c277cf1144573c8022283d5b45f80245,DIX ST NE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53603972438,2024-01-01 07:00:00+00:00,38.903737,-77.031351,1343 L STREET NW,WARD 2,4996d9c807fb909ec515bfaf2295341c,16TH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53604024076,2024-01-01 06:00:00+00:00,38.921076,-77.041823,2423 18TH STREET NW,WARD 1,8589dee2df91721d487a86fc1f9d84cb,BELMONT RD NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53604051350,2024-01-01 09:00:00+00:00,38.905655,-77.043882,1909 M STREET NW,WARD 2,a78856788a5c62f35c1c9773e0457155,M ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605322063,2024-01-01 09:15:00+00:00,38.918628,-77.024539,923 FLORIDA AVENUE NW,WARD 1,5c930306b9518150c67e00540289058e,VERMONT AVE NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605409627,2024-01-01 07:20:00+00:00,38.896373,-77.029634,1301 PENNSYLVANIA AVENUE NW,WARD 2,03dc8234a2c3740142585db99c22af48,14TH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605462316,2024-01-01 10:55:00+00:00,38.903732,-77.018013,460 NEW YORK AVENUE NW,WARD 6,a8c7134135710626d11849fb9a61d667,L ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605506560,2024-01-01 06:55:00+00:00,38.910454,-77.043437,19 DUPONT CIRCLE NW,WARD 2,8073b2b2b1a83033c86401b7a4558225,19TH ST NW,HIGH,NO_ERROR_FLAGGED,10.0,0.0,1.0,0.0,1.0,True,False,False,False,True
53605523762,2024-01-01 08:20:00+00:00,38.910219,-76.985526,1103 MOUNT OLIVET ROAD NE,WARD 5,1b8e2af26d41cd9cc08c2b646b9ee053,WEST VIRGINIA AVE NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605666174,2024-01-01 06:15:00+00:00,38.886145,-76.955697,3500 MINNESOTA AVENUE SE,WARD 7,7aa6799f3118edaeadcd0a28ef246e42,C ST SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605700685,2024-01-01 07:20:00+00:00,38.902281,-77.017657,440 K STREET NW,WARD 6,49683b56558cdd7e5f1805826aca7085,4 1/2 ST NW,MEDIUM,BLOCKKEY_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605746564,2024-01-01 08:38:00+00:00,38.902401,-77.043127,1850 K STREET NW,WARD 2,a3824894d12d4c51dc65e5bcb3dc99bf,K ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53605983367,2024-01-01 11:30:00+00:00,38.860882,-76.990416,1319 DEXTER TERRACE SE,WARD 8,fc748729c3b8e7a30f72d09ee331b2b6,TALBERT TER SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53606046305,2024-01-01 07:00:00+00:00,38.840743,-77.006534,126 RALEIGH STREET SE,WARD 8,37853934727770a721f12f96a1b6e65b,STERLING ST SE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53606049912,2024-01-01 11:00:00+00:00,38.862476,-77.001587,2390 SOUTH CAPITOL STREET SE,WARD 8,0,,MEDIUM,INTERSECTING_ROUTE_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53606364765,2024-01-01 14:15:00+00:00,38.938793,-77.027385,969 RANDOLPH STREET NW,WARD 4,c40ac4c0b6c9585ac461e205dcde2422,10TH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53606783098,2024-01-01 07:30:00+00:00,38.831056,-77.007675,4009 SOUTH CAPITOL STREET SW,WARD 8,549ff741c2ebe62594967aa1b75d0552,ATLANTIC ST SE,HIGH,NO_ERROR_FLAGGED,13.0,0.0,1.0,1.0,2.0,True,False,False,False,True
53607105742,2024-01-01 11:00:00+00:00,38.914092,-77.035679,1529 S STREET NW,WARD 2,8a08ff8afc6ae4afe61dba8296fbaef8,16TH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53607166716,2024-01-01 15:54:00+00:00,38.839043,-76.992012,938 MISSISSIPPI AVENUE SE,WARD 8,dd3409127d2566d8a2034a69c6f678c9,10TH PL SE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,True,False,True,False,False
53607439405,2024-01-01 17:00:00+00:00,38.91215,-77.009648,1634 NORTH CAPITOL STREET NW,WARD 5,51e431c47a4aa3457600151faf2e5662,QUINCY PL NW,MEDIUM,BLOCKKEY_ERROR,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53607480035,2024-01-01 17:40:00+00:00,38.909203,-77.00371,100 FLORIDA AVENUE NE,WARD 5,ac6091052ef8921c8245c1f59edae311,O ST NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53607628398,2024-01-01 02:53:00+00:00,38.861811,-76.998219,2580 FIRTH STERLING AVENUE SE,WARD 8,4cfdb7a8a37ca6fc8cbcd85ddda1366c,,MEDIUM,INTERSECTING_ROUTE_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53608158487,2024-01-01 04:30:00+00:00,38.865475,-76.991448,1101 W STREET SE,WARD 8,88b5ab1e5c7c1fd1939f267441d80063,RAILROAD AVE SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53608280848,2024-01-01 08:00:00+00:00,38.909804,-76.987214,1700 WEST VIRGINIA AVENUE NE,WARD 5,f0871e8172730a88039b984d1545464f,RAUM ST NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53608366872,2024-01-01 22:10:00+00:00,38.931145,-77.030231,1306 PARK ROAD NW,WARD 1,5a3a52db467cf94969957f7ebf4a7fca,HOLMEAD PL NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53608920150,2024-01-02 00:00:00+00:00,38.916407,-77.005412,1922 SUMMIT PLACE NE,WARD 5,49d925cd74a448d1e97bda76c592ff83,TODD PL NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53609598920,2024-01-01 05:00:00+00:00,38.929915,-77.032277,3225 14TH STREET NW,WARD 1,753788b3247a705c07f28aa22372fbab,KENYON ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53609600633,2024-01-02 02:30:00+00:00,38.924165,-77.022716,2600 GEORGIA AVENUE NW,WARD 1,b34e55c37eaa29d76b87ce31aaab7c92,EUCLID ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53609833357,2024-01-01 22:00:00+00:00,38.891752,-76.95746,3393 BLAINE STREET NE,WARD 7,541e6c8a69bbb8917c4de3556b57c68d,KENILWORTH AVE NE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53610028159,2024-01-02 04:40:00+00:00,38.937076,-77.034381,1426 SPRING ROAD NW,WARD 1,e3d31b22ba5125c8af7d71ef8adda6dc,SPRING PL NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53610309268,2024-01-01 15:45:00+00:00,38.892378,-77.039478,"17TH STREET NW
WASHINGTON,",WARD 2,c4098e7808323c506438d37d2383bed5,CONSTITUTION AVE NW,HIGH,NO_ERROR_FLAGGED,6.0,0.0,0.0,2.0,2.0,False,False,False,False,False
53610868939,2024-01-02 04:26:00+00:00,38.832942,-76.989765,923 BARNABY STREET SE,WARD 8,8ee9a95652bd8a9808751a3a43e21a00,WHEELER RD SE,HIGH,NO_ERROR_FLAGGED,6.0,0.0,0.0,2.0,2.0,False,False,False,False,False
53612446950,2024-01-02 09:38:00+00:00,38.902617,-77.021644,685 K STREET NW,WARD 2,a61fbbe87065492828e2e7c69924cb96,7TH ST NW,MEDIUM,BLOCKKEY_ERROR,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53612563195,2024-01-02 12:10:00+00:00,38.917254,-76.976748,1818 NEW YORK AVENUE NE,WARD 5,4e712a2872af9c63ac453b74c3161adc,MONTANA AVE NE,HIGH,NO_ERROR_FLAGGED,9.0,0.0,0.0,3.0,3.0,False,False,False,False,False
53612650710,2024-01-02 11:45:00+00:00,38.873722,-76.970129,2500 PENNSYLVANIA AVENUE SE,WARD 7,4408d7b3e15a2b8c4779622f65926d85,MINNESOTA AVE SE,HIGH,NO_ERROR_FLAGGED,6.0,0.0,0.0,2.0,2.0,False,False,False,False,False
53613055313,2024-01-02 12:45:00+00:00,38.936634,-77.035984,3557 16TH STREET NW,WARD 1,10f160d9df1fb12a3bac6b81c05dfd2f,SPRING PL NW,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53613300216,2024-01-02 13:50:00+00:00,38.913343,-77.009347,1722 NORTH CAPITOL STREET NW,WARD 5,ff6834652eac867d2207268d1d07de75,RANDOLPH PL NW,MEDIUM,BLOCKKEY_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53613438015,2024-01-02 12:11:00+00:00,38.929745,-76.970147,3112 26TH STREET NE,WARD 5,7a91631dd88cce2c966a8ad3c9ab37a7,MYRTLE AVE NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53613571149,2024-01-02 13:25:00+00:00,38.902642,-77.051839,2400 PENNSYLVANIA AVENUE NW,WARD 2,d1cddb02b6642c27b72e490c4125ce2c,24TH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53613654319,2024-01-02 12:20:00+00:00,38.890321,-76.928573,5032 EAST CAPITOL STREET NE,WARD 7,9b53b42d23c238180d1cb70db3d0d0da,DIVISION AVE NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53614059497,2024-01-02 14:00:00+00:00,38.847136,-76.980605,1576 ALABAMA AVENUE SE,WARD 8,7b9b6129091917f1959c1d610cfbb024,STANTON RD SE,HIGH,NO_ERROR_FLAGGED,9.0,0.0,0.0,3.0,3.0,False,False,False,False,False
53614137680,2024-01-02 11:00:00+00:00,38.931127,-76.971373,2407 RHODE ISLAND AVENUE NE,WARD 5,12124139fb7af9a04b45137cc4be352f,SOUTH DAKOTA AVE NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53614273424,2024-01-02 14:17:00+00:00,38.845365,-76.971537,3478 23RD STREET SE,WARD 8,ad8e083fea4dce12b44d4bcb8c16241d,23RD PKWY SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53614633193,2024-01-02 13:00:00+00:00,38.894749,-77.028101,390 12TH STREET NW,WARD 2,14f3cbbf0b1abf0ca664f838825450e3,E ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53614685999,2024-01-01 23:00:00+00:00,38.892054,-77.008611,"CONSTITUTION AVENUE NE
WASHINGTON,",WARD 6,b352d937149d40c720063e6eaa67e792,DELAWARE AVE NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53614819052,2024-01-02 01:00:00+00:00,38.872361,-77.009086,1500 SOUTH CAPITOL STREET SE,WARD 6,cd3776d30da39fe3e46cabc139d5c246,P ST SW,MEDIUM,BLOCKKEY_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53614897104,2024-01-02 05:00:00+00:00,38.882762,-76.92889,450 51ST STREET SE,WARD 7,1486a66e74aef90bda5c395ee523c103,QUEEN'S STROLL PL SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53615885964,2024-01-02 21:11:00+00:00,38.910387,-77.032204,1522 14TH STREET NW,WARD 2,8f3aef98baa4eb5e3b5f48941a69b41e,CHURCH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53616040495,2024-01-02 22:01:00+00:00,38.943048,-77.007195,30 VARNUM STREET NE,WARD 5,f90300a88aa0ea5b1795f52b837affe9,HALF PL NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53616044325,2024-01-02 20:50:00+00:00,38.901599,-76.98311,826 BLADENSBURG ROAD NE,WARD 5,cb3b440a059dc11b719c1f5ee782bf59,NEAL ST NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53616226880,2024-01-02 21:50:00+00:00,38.873746,-76.934254,4510 BOWEN ROAD SE,WARD 7,9159f2214e08ba8ccfa7f97d6b383798,46TH ST SE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53616802590,2024-01-02 23:40:00+00:00,38.892686,-76.94332,4103 BENNING ROAD NE,WARD 7,Route not found,ROUTE NOT FOUND,MEDIUM,FAR_FROM_CENTERLINE,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53616808406,2024-01-02 22:40:00+00:00,38.900147,-76.939459,804 44TH STREET NE,WARD 7,eeeb772297233a201ec60f6cac8b7a9f,HAYES ST NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53616859093,2024-01-02 23:51:00+00:00,38.909476,-76.985012,1210 SIMMS PLACE NE,WARD 5,bbf07471d6586284a6aee92b21dc91e7,MONTELLO AVE NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53616959397,2024-01-02 05:00:00+00:00,38.874467,-76.973704,2200 FAIRLAWN AVENUE SE,WARD 8,bab0627e3974628730209d498841088e,PENNSYLVANIA AVE SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617164180,2024-01-03 00:30:00+00:00,38.932891,-76.981163,3415 17TH STREET NE,WARD 5,2d502b2668f84930bd89ead983a44076,MONROE ST NE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53617191655,2024-01-01 01:04:00+00:00,38.861068,-76.969456,2451 GOOD HOPE ROAD SE,WARD 8,e927273aab973ba203c1f43cbd1fce7f,MARION BARRY AVE SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617245320,2024-01-02 22:50:00+00:00,38.905179,-77.062534,1201 WISCONSIN AVENUE NW,WARD 2,e0b401a28f71743b52fef498ad622a8f,M ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617289878,2024-01-03 01:48:00+00:00,38.899909,-77.006815,99 H STREET NE,WARD 6,0,,MEDIUM,INTERSECTING_ROUTE_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53659811304,2024-01-06 17:45:00+00:00,38.897076,-77.019905,600 F STREET NW,WARD 2,73e35fbe70f0e92530e124fab0eb3463,6TH ST NW,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,True,False,False,False,False
53659824383,2024-01-06 17:39:00+00:00,38.871351,-76.963674,3000 PENNSYLVANIA AVENUE SE,WARD 7,3eadd2d53012060439bb71dabd26870b,30TH ST SE,HIGH,NO_ERROR_FLAGGED,6.0,0.0,0.0,2.0,2.0,False,False,False,False,False
53659824611,2024-01-05 19:17:00+00:00,38.902692,-76.943184,1013 KENILWORTH AVENUE NE,WARD 7,8c94bf81399564ad3037c147b0f688b4,NANNIE HELEN BURROUGHS AVE NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53659877811,2024-01-05 21:00:00+00:00,38.880113,-76.926828,5100 SOUTHERN AVENUE SE,WARD 7,88e0d7fe30093fbd25319215211e2e7e,53RD ST SE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53659915242,2024-01-06 17:50:00+00:00,38.932531,-77.097024,4911 LOUGHBORO ROAD NW,WARD 3,9d41431678558c012740a982ad5af250,ARIZONA AVE NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53660007711,2024-01-06 18:28:00+00:00,38.900522,-76.944116,4193 MINNESOTA AVENUE NE,WARD 7,52b8f663045fece142efe1b2802b312f,HUNT PL NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53660176176,2024-01-06 17:00:00+00:00,38.933828,-77.024685,719 NEWTON PLACE NW,WARD 1,01c708cd6fbcd21e7f604a1e371021d9,GEORGIA AVE NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53660230373,2024-01-06 18:14:00+00:00,38.871351,-76.963674,3000 PENNSYLVANIA AVENUE SE,WARD 7,3eadd2d53012060439bb71dabd26870b,30TH ST SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53660499795,2024-01-06 19:30:00+00:00,38.843197,-77.009035,27 WESTOVER AVENUE SW,WARD 8,92545f84632d5e83e579bf4d859b6dad,DINGER ST SW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53660779129,2024-01-06 18:11:00+00:00,38.864133,-76.959414,2111 BRANCH AVENUE SE,WARD 7,2c5228d343288027b5cba0cf8c8d2168,U ST SE,HIGH,NO_ERROR_FLAGGED,6.0,0.0,0.0,2.0,2.0,False,False,False,False,False
53619941446,2024-01-03 09:55:00+00:00,38.921531,-76.981375,1621 MONTANA AVENUE NE,WARD 5,b1b2c77f3192e85d5f230d219e202cd5,17TH ST NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53620094830,2024-01-03 10:00:00+00:00,38.894085,-77.018905,500 INDIANA AVENUE NW,WARD 6,Route not found,ROUTE NOT FOUND,MEDIUM,FAR_FROM_CENTERLINE,10.0,0.0,1.0,0.0,1.0,False,False,False,False,True
53620103358,2024-01-03 11:15:00+00:00,38.930057,-77.110398,5601 POTOMAC AVENUE NW,WARD 3,c7e689fc34ff41f4cace9e06c5332a06,MACOMB ST NW,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53620313010,2024-01-03 11:30:00+00:00,38.891966,-76.911145,200 63RD STREET NE,WARD 7,3bbdc02b6b2615aa135187c853f1f54d,BANKS PL NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53620946114,2024-01-03 14:15:00+00:00,38.882839,-76.986235,1357 E STREET SE,WARD 6,dface2abb082247a86c0442f2b15d4fc,14TH ST SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53621100908,2024-01-02 15:20:00+00:00,38.901575,-77.050123,900 23RD STREET NW,WARD 2,fc06db2863e5f250fa4a088f92845520,,MEDIUM,INTERSECTING_ROUTE_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53621233207,2024-01-03 01:00:00+00:00,38.826239,-77.008701,51 ELMIRA STREET SW,WARD 8,cd080537e4ecbef5d8748f53eb6204c2,SOUTH CAPITOL TER SW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53621283899,2024-01-03 14:10:00+00:00,38.904688,-77.013012,100 PIERCE STREET NW,WARD 6,0,,MEDIUM,INTERSECTING_ROUTE_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53621456646,2024-01-03 13:10:00+00:00,38.926065,-76.995916,2817 7TH STREET NE,WARD 5,1c313eacf32830d29656367a18f2069c,GIRARD ST NE,HIGH,NO_ERROR_FLAGGED,3.0,0.0,0.0,1.0,1.0,False,False,False,False,False
53621627163,2024-01-03 15:40:00+00:00,38.932001,-77.025915,767 MORTON STREET NW,WARD 1,f5b8c949e986942f8cdff858531186ed,SHERMAN AVE NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
